Date,Trump,Biden
2020/8/4,14,3
2020/8/5,14,4
2020/8/6,13,6
2020/8/7,14,6
2020/8/8,19,6
2020/8/9,19,5
2020/8/10,16,6
2020/8/11,16,18
2020/8/12,15,15
2020/8/13,15,7
2020/8/14,16,5
2020/8/15,14,4
2020/8/16,24,5
2020/8/17,15,4
2020/8/18,17,7
2020/8/19,15,10
2020/8/20,17,8
2020/8/21,18,16
2020/8/22,14,7
2020/8/23,17,5
2020/8/24,13,5
2020/8/25,14,4
2020/8/26,15,4
2020/8/27,15,4
2020/8/28,22,6
2020/8/29,14,5
2020/8/30,14,5
2020/8/31,12,5
2020/9/1,14,6
2020/9/2,13,5
2020/9/3,12,4
2020/9/4,16,5
2020/9/5,18,5
2020/9/6,17,5
2020/9/7,14,4
2020/9/8,13,4
2020/9/9,16,4
2020/9/10,14,4
2020/9/11,13,4
2020/9/12,14,4
2020/9/13,14,4
2020/9/14,13,4
2020/9/15,13,4
2020/9/16,13,6
2020/9/17,11,5
2020/9/18,14,6
2020/9/19,19,6
2020/9/20,14,5
2020/9/21,12,4
2020/9/22,12,5
2020/9/23,12,5
2020/9/24,14,5
2020/9/25,14,5
2020/9/26,16,5
2020/9/27,16,6
2020/9/28,23,7
2020/9/29,21,11
2020/9/30,47,41
2020/10/1,20,13
2020/10/2,96,14
2020/10/3,75,9
2020/10/4,56,9
2020/10/5,41,7
2020/10/6,34,9
2020/10/7,29,7
2020/10/8,29,14
2020/10/9,24,8
2020/10/10,22,7
2020/10/11,18,7
2020/10/12,18,7
2020/10/13,17,8
2020/10/14,17,8
2020/10/15,20,13
2020/10/16,29,15
2020/10/17,20,10
2020/10/18,20,10
2020/10/19,19,9
2020/10/20,20,10
2020/10/21,20,11
2020/10/22,22,11
2020/10/23,31,27
2020/10/24,21,11
2020/10/25,21,12
2020/10/26,21,12
2020/10/27,22,12
2020/10/28,23,12
2020/10/29,21,11
2020/10/30,22,12
2020/10/31,23,12
2020/11/1,29,15
2020/11/2,33,18
2020/11/3,49,29
2020/11/4,100,72
2020/11/5,73,57
2020/11/6,68,46
2020/11/7,96,88
2020/11/8,84,77
2020/11/9,47,28
2020/11/10,36,20
2020/11/11,32,13
2020/11/12,28,11
2020/11/13,28,10
2020/11/14,26,9
2020/11/15,24,7
2020/11/16,22,7
2020/11/17,20,7
2020/11/18,19,6
2020/11/19,19,5
2020/11/20,20,6
2020/11/21,17,5
2020/11/22,17,4
2020/11/23,17,6
2020/11/24,19,7
2020/11/25,15,6
2020/11/26,14,5
2020/11/27,15,4
2020/11/28,14,3
2020/11/29,13,4
2020/11/30,11,6
2020/12/1,12,4
2020/12/2,13,3
2020/12/3,13,3
2020/12/4,12,4
2020/12/5,13,4
2020/12/6,12,3
2020/12/7,10,3
2020/12/8,11,3
2020/12/9,12,3
2020/12/10,11,3
2020/12/11,12,4
2020/12/12,17,3
2020/12/13,13,3
2020/12/14,14,4
2020/12/15,15,6
2020/12/16,12,4
2020/12/17,12,3
2020/12/18,11,4
2020/12/19,11,3
2020/12/20,12,3
2020/12/21,11,3
2020/12/22,12,3
2020/12/23,23,3
2020/12/24,15,2
2020/12/25,12,2
2020/12/26,12,2
2020/12/27,13,2
2020/12/28,19,2
2020/12/29,12,2
2020/12/30,11,3
2020/12/31,10,2
2021/1/1,11,3
2021/1/2,10,3
2021/1/3,13,3
2021/1/4,18,3
2021/1/5,17,4
2021/1/6,49,9
2021/1/7,69,10
2021/1/8,48,6
2021/1/9,43,5
2021/1/10,33,5
2021/1/11,34,5
2021/1/12,32,4
2021/1/13,43,5
2021/1/14,31,8
2021/1/15,20,10
2021/1/16,17,6
2021/1/17,16,7
2021/1/18,16,7
2021/1/19,24,13
2021/1/20,64,56
2021/1/21,34,47
2021/1/22,19,26
2021/1/23,15,21
2021/1/24,12,16
2021/1/25,10,13
2021/1/26,11,12
2021/1/27,8,10
2021/1/28,7,10
2021/1/29,7,9
2021/1/30,7,7
2021/1/31,8,7
2021/2/1,6,6
2021/2/2,6,7
2021/2/3,6,6
2021/2/4,6,6
2021/2/5,6,6
2021/2/6,6,6
2021/2/7,5,5
2021/2/8,7,5
2021/2/9,8,5
2021/2/10,10,4
2021/2/11,9,5
2021/2/12,9,5
2021/2/13,20,5
2021/2/14,16,4
2021/2/15,7,5
2021/2/16,6,5
2021/2/17,7,6
2021/2/18,6,5
2021/2/19,5,5
2021/2/20,4,5
2021/2/21,5,4
2021/2/22,5,4
2021/2/23,5,5
2021/2/24,4,5
2021/2/25,4,5
2021/2/26,6,7
2021/2/27,7,6
2021/2/28,13,4
2021/3/1,8,4
2021/3/2,5,5
2021/3/3,4,5
2021/3/4,4,5
2021/3/5,4,4
2021/3/6,4,4
2021/3/7,4,4
2021/3/8,3,4
2021/3/9,3,5
2021/3/10,3,6
2021/3/11,4,7
2021/3/12,4,9
2021/3/13,3,4
2021/3/14,3,3
2021/3/15,3,3
2021/3/16,3,3
2021/3/17,3,4
2021/3/18,3,4
2021/3/19,4,10
2021/3/20,4,11
2021/3/21,4,6
2021/3/22,4,5
2021/3/23,4,5
2021/3/24,3,5
2021/3/25,3,9
2021/3/26,4,7
2021/3/27,3,4
2021/3/28,3,3
2021/3/29,3,3
2021/3/30,3,3
2021/3/31,3,4
2021/4/1,3,4
2021/4/2,3,3
2021/4/3,3,3
2021/4/4,3,3
